#,role_id,recency,frequency,monetary
536,32900000023559,19,1,30
537,32900000034814,19,2,12
538,32900000048845,16,4,801
539,33000000001071,17,1,6
540,33000000003152,49,1,648
541,33000000008592,16,1,12
542,33000000032616,16,2,104
543,33000000073012,34,1,510
544,33000000073018,34,1,510
545,33000000073019,22,1,510
546,33000000073040,35,1,510
547,33000000073049,26,1,510
548,33000000073052,22,1,510
549,33000000073055,32,1,510
550,33000000073145,22,1,510
551,33000000073164,21,1,510
552,33000000073188,37,1,510
553,33000000073202,22,1,510
554,33000000073547,53,1,648
555,33000000073575,53,1,648
556,33000000073596,60,1,648
557,33000000073598,54,1,648
558,33000000073601,54,1,648
559,33000000073615,53,1,648
560,33000000073699,54,1,648
561,33100000000070,12,2,515
562,33100000000094,18,1,6
563,33100000003319,5,4,427
564,33100000017851,17,1,6
565,33100000020602,17,1,510
566,33100000020620,13,1,510
567,33100000020622,13,1,510
568,33100000020638,13,1,510
569,33200000000181,58,1,6
570,33200000014320,45,10,60
571,33200000015880,13,1,510
572,33200000015899,6,1,510
573,33200000015930,5,1,510
574,33200000015952,9,1,510
575,33200000015956,9,1,510
576,33200000015968,9,1,510
577,33200000030521,10,1,6
578,33500000000505,10,1,5
579,33500000000579,0,101,21662
580,33500000010682,17,2,770
581,33500000011468,17,2,838
582,33500000025530,57,1,6
583,33500000047700,13,1,510
584,33500000048039,5,1,510
585,33600000003868,0,2,36
586,33600000033538,6,1,510
587,33700000000904,2,5,961
588,33700000010814,12,1,6
589,33700000011182,49,1,6
590,33700000019095,5,5,836
591,33700000019677,38,1,6
592,33900000014783,0,1,510
593,34000000011018,6,2,36
594,34100000000225,36,3,258
595,34100000033547,60,1,648
596,34100000034002,60,1,648
597,34100000034510,54,1,648
598,34200000002002,5,3,129
599,34300000011177,18,3,1136
600,34300000011302,50,2,60
601,34300000027519,60,1,30
602,34400000001846,6,3,42
603,34400000008047,14,1,25
604,34400000015547,19,1,98
605,34500000022558,38,1,260
606,34500000022565,46,1,328
607,34500000023033,54,1,648
608,34500000023038,54,1,648
609,34500000023504,54,1,648
610,34500000023544,50,1,648
611,34500000023557,49,1,648
612,34500000023578,48,1,648
613,34500000024004,47,1,648
614,34500000024034,44,1,648
615,34500000024037,44,1,648
616,34500000024043,41,1,648
617,34500000024046,41,1,648
618,34500000025900,28,1,510
619,34500000027010,20,1,510
620,34500000027950,18,1,510
621,34500000027997,18,1,510
622,34500000028152,17,1,510
623,34500000028197,13,1,510
624,34500000028524,1,3,42
625,34500000028535,6,1,510
626,34700000000026,6,23,804
627,34800000005091,0,35,2179
628,34900000001366,43,14,2498
629,34900000002451,21,1,6
630,34900000012526,44,1,648
631,34900000012538,43,1,648
632,35000000000010,12,25,660
633,35000000000014,39,4,524
634,35000000000378,1,8,376
635,35000000000973,32,9,738
636,35000000001616,39,1,510
637,35000000002150,46,1,648
638,35000000002834,16,4,24
639,35000000009024,50,1,648
640,35000000009029,50,1,648
641,35000000009501,47,1,648
642,35000000009505,47,1,648
643,35100000000010,3,18,272
644,35100000000120,54,1,648
645,35100000000129,54,1,648
646,35100000000149,50,1,6
647,35100000000851,6,2,36
648,35100000000948,33,15,518
649,35100000002554,5,2,36
650,35100000007362,33,1,510
651,35100000009321,58,1,648
652,35100000009490,54,1,648
653,35200000000013,2,29,1102
654,35200000000016,7,22,297
655,35200000000314,60,1,648
656,35200000000628,60,2,12
657,35200000001859,47,6,306
658,35200000004550,48,37,3634
659,35200000005059,50,3,30
660,35200000005104,56,4,140
661,35200000005772,56,2,12
662,35200000006085,60,1,6
663,35200000006386,59,1,6
664,35200000006536,59,1,6
665,35200000006614,44,2,80
666,35200000006710,41,2,74
667,35200000007224,39,3,104
668,35200000007278,57,1,6
669,35200000007513,56,1,6
670,35200000007531,53,3,48
671,35200000008588,45,2,976
672,35200000008596,45,1,648
673,35200000009514,39,1,510
674,35200000009528,35,1,510
675,35200000010003,33,1,510
676,35200000010012,30,1,510
677,35200000010034,27,1,510
678,35200000010036,27,1,510
679,35200000010037,27,1,510
680,35200000010537,19,1,510
681,35200000011050,12,1,510
682,35200000011059,12,1,510
683,35200000011505,11,1,510
684,35200000011516,11,1,510
685,35200000011534,11,1,510
686,35200000011536,11,1,510
687,35200000011575,7,1,510
688,35300000000022,54,1,6
689,35300000000027,45,24,2104
690,35300000000083,50,16,1274
691,35300000000108,43,13,732
692,35300000000123,54,2,12
693,35300000000132,45,23,1062
694,35300000000199,49,2,36
695,35300000000243,49,3,42
696,35300000000256,54,1,6
697,35300000001104,54,1,6
698,35300000001140,30,1,160
699,35300000001371,54,1,6
700,35300000001554,54,1,6
701,35300000001893,53,2,18
702,35300000001933,30,13,1792
703,35300000002622,53,1,648
704,35300000002691,49,3,18
705,35300000003134,51,3,134
706,35300000003342,52,1,30
707,35300000003377,52,1,6
708,35300000003514,33,9,2550
709,35300000004331,51,1,6
710,35300000004449,48,2,12
711,35300000004528,42,2,12
712,35300000004669,49,1,6
713,35300000004720,50,1,6
714,35300000004948,50,1,6
715,35300000005200,49,3,54
716,35300000005281,49,1,6
717,35300000005285,49,1,6
718,35300000005375,49,1,6
719,35300000006398,44,1,6
720,35300000006428,40,2,204
721,35300000006991,46,6,250
722,35300000007127,46,1,648
723,35300000007198,46,1,648
724,35300000007210,44,1,6
725,35300000007416,41,5,30
726,35300000007807,44,1,6
727,35300000007882,44,1,6
728,35300000008296,39,2,36
729,35300000008435,43,1,6
730,35300000008866,41,3,134
731,35300000009276,40,4,60
732,35300000009579,30,6,788
733,35300000010008,33,1,510
734,35300000011039,4,3,850
735,35300000011539,6,1,510
736,35400000000036,29,19,330
737,35400000000093,19,14,1008
738,35400000000095,31,6,506
739,35400000000102,34,2,36
740,35400000000155,33,8,1910
741,35400000000262,40,1,30
742,35400000000500,38,1,5
743,35400000000525,40,2,166
744,35400000000802,35,7,128
745,35400000001033,40,1,30
746,35400000001584,39,3,42
747,35400000001738,34,9,282
748,35400000002303,4,2,12
749,35400000002384,38,1,510
750,35400000002466,35,4,284
751,35400000002529,38,1,6
752,35400000002826,37,1,6
753,35400000002895,37,6,504
754,35400000003589,36,1,6
755,35400000003627,33,1,6
756,35400000003744,36,1,6
757,35400000003885,36,1,6
758,35400000003957,34,1,6
759,35400000004397,35,1,510
760,35400000004410,34,1,6
761,35400000004754,6,1,6
762,35400000004801,34,2,2862
763,35400000005065,33,1,30
764,35400000005861,33,1,510
765,35400000006121,32,2,228
766,35400000006662,0,54,17616
767,35400000006690,28,6,442
768,35400000006939,27,1,6
769,35400000006958,4,1,6
770,35400000007182,29,1,6
771,35400000007682,28,1,6
772,35400000007743,28,1,6
773,35400000008177,25,3,18
774,35500000000019,19,1,6
775,35500000000030,24,4,117
776,35500000000061,24,4,42
777,35500000000083,21,34,3352
778,35500000000195,15,4,72
779,35500000000199,26,1,25
780,35500000000272,26,1,510
781,35500000000430,26,1,6
782,35500000000443,26,1,6
783,35500000000483,18,2,12
784,35500000001335,24,2,12
785,35500000001517,9,15,1872
786,35500000001561,21,1,6
787,35500000001643,0,61,4633
788,35500000002460,25,1,6
789,35500000002611,25,1,6
790,35500000002657,25,1,6
791,35500000002765,11,3,110
792,35500000003033,21,4,48
793,35500000003058,20,5,227
794,35500000003299,23,1,5
795,35500000003503,0,48,3956
796,35500000003661,20,2,12
797,35500000003983,22,1,6
798,35500000004087,3,33,6412
799,35500000004202,3,1,6
800,35500000004551,20,1,6
801,35500000004736,19,1,6
802,35500000005604,15,1,510
803,35500000006003,0,45,6340
804,35500000006021,9,2,86
805,35500000006044,6,1,510
806,35500000006046,6,1,510
807,35600000000005,5,8,1581
808,35600000000007,18,2,35
809,35600000000024,16,2,30
810,35600000000029,18,1,5
811,35600000000036,19,2,654
812,35600000000038,19,1,80
813,35600000000044,17,4,98
814,35600000000106,19,3,116
815,35600000000115,0,7,812
816,35600000000125,0,19,5770
817,35600000000154,0,45,13886
818,35600000000157,9,2,265
819,35600000000159,3,6,128
820,35600000000161,16,2,30
821,35600000000255,0,27,6172
822,35600000000274,4,30,2764
823,35600000000312,3,12,396
824,35600000000314,18,4,682
825,35600000000374,19,1,6
826,35600000000376,19,1,30
827,35600000000552,19,1,6
828,35600000000624,19,1,6
829,35600000000626,19,1,6
830,35600000000643,16,1,6
831,35600000000665,0,21,1483
832,35600000000698,6,3,116
833,35600000000786,5,9,1121
834,35600000000971,13,2,36
835,35600000000982,15,4,1266
836,35600000001109,15,23,2754
837,35600000001194,4,3,134
838,35600000001491,15,1,6
839,35600000001704,19,1,6
840,35600000001826,18,2,36
841,35600000002015,19,1,30
842,35600000002259,0,23,2252
843,35600000002284,19,1,6
844,35600000002419,19,1,30
845,35600000002588,11,11,1640
846,35600000002618,11,1,328
847,35600000002705,19,1,6
